Item Code,UPC ID,Item Name,Grammage,MRP,Batch,Zone Identifier,Location,Entity Vendor,Quantity
10000441,8901262200189,Amul Sweet Lassi(Tetra Pak),200 ml,20,,,,,
10000447,8901314009081,Colgate Active Salt Toothpaste,200 g,149,,,,,
10000447,8901314009081,Colgate Active Salt Toothpaste,200 g,145,,,,,
10000450,8901314310057,Colgate Total Advanced Health Toothpaste,120 g,190,,,,,
10000451,8901314310033,Colgate Herbal Toothpaste - 200 g,200 g,155,,,,,
10000451,8901314310033,Colgate Herbal Toothpaste - 200 g,200.0 GM,165,,,,,
10000454,8901314077998,Colgate MaxFresh Peppermint Mouthwash (250 ml),250 ml,165,,,,,
10000454,8901314077998,Colgate MaxFresh Peppermint Mouthwash (250 ml),250.0 ML,185,,,,,
10000454,8901314077998,Colgate MaxFresh Peppermint Mouthwash (250 ml),250 ml,175,,,,,
10000455,8901314077073,Colgate MaxFresh Plax Antibacterial Fresh Tea Mouthwash,250 ml,175,,,,,
10000455,8901314077073,Colgate MaxFresh Plax Antibacterial Fresh Tea Mouthwash,250 ml,165,,,,,
10000455,8901314077073,Colgate MaxFresh Plax Antibacterial Fresh Tea Mouthwash,250 ml,185,,,,,
10000459,8901314116420,Colgate Zig Zag Deep Clean Toothbrush (Medium) (Removes Bacteria Between The Teeth),3 x 1 unit,70,,,,,
10000463,8901393012828,Alpenliebe Juzt Jelly Strawberry Flavour Candy,148 g,50,,,,,
10000464,8901396040408,Vanish Oxi Action Fabric Stain Remover 400 g(Pouch),400 g,250,,,,,
10000464,8901396040408,Vanish Oxi Action Fabric Stain Remover 400 g(Pouch),400 g,240,,,,,
10000465,8901396040705,Vanish Oxi Action Fabric Stain Remover 400 ml(Bottle),400 ml,140,,,,,
10000465,8901396040705,Vanish Oxi Action Fabric Stain Remover 400 ml(Bottle),400 ml,130,,,,,
10000468,8901396151005,Harpic Disinfectant Liquid Toilet Cleaner - (Original) - 500 ml,500 ml,105,,,,,
10000468,8901396151005,Harpic Disinfectant Liquid Toilet Cleaner - (Original) - 500 ml,500 ml,110,,,,,
10000475,8901396350200,Dettol Surface Disinfection & Personal Hygiene Antiseptic Liquid,125 ml,80.52,,,,,
10000476,8901396354604,Dettol Antiseptic Liquid - 550 ml,550 ml,259,,,,,
10000476,8901396354604,Dettol Antiseptic Liquid - 550 ml,550 ml,235.46,,,,,
10000481,8901396399612,Dettol Icy Cool Bathing Soap 125 g,125 g,67,,,,,
10000484,8904482000003,Hamdard Rooh Afza Rose Sharbat(Bottle),750 ml,180,,,,,
10000485,8901491100519,Kurkure Masala Munch Crisps,77 g,20,,,,,
10000485,8901491100519,Kurkure Masala Munch Crisps,75 g,20,,,,,
10000485,8901491100519,Kurkure Masala Munch Crisps,78 g,20,,,,,
10000486,8901491100533,Kurkure Chilli Chatka Crisps,70 g,20,,,,,
10000486,8901491100533,Kurkure Chilli Chatka Crisps,68 g,20,,,,,
10000487,8901491101813,Lay's American Style Cream & Onion Potato Chips,40 g,20,,,,,
10000487,8901491101813,Lay's American Style Cream & Onion Potato Chips,48 g,20,,,,,
10000487,8901491101813,Lay's American Style Cream & Onion Potato Chips,50 g,20,,,,,
10000489,8901491101837,Lay's Classic Salted Potato Chips,55 g,20,,,,,
10000489,8901491101837,Lay's Classic Salted Potato Chips,48 g,20,,,,,
10000489,8901491101837,Lay's Classic Salted Potato Chips,50 g,20,,,,,
10000489,8901491101837,Lay's Classic Salted Potato Chips,50 g (40 g +10 g),20,,,,,
10000489,8901491101837,Lay's Classic Salted Potato Chips,50 g (40 g + 10 g),20,,,,,
10000490,8901491101844,Lay's India's Magic Masala Potato Chips(Packet),50 g,20,,,,,
10000490,8901491101844,Lay's India's Magic Masala Potato Chips(Packet),48 g,20,,,,,
